Variety_ID,Accession_ID,accession_holding,parent1,parent1_synonym,parent1_holding,parent2,parent2_holding,Code_ID,Panel_246,genetic_group,type,holding,Holding name
UH_P115,UH_P115_H,inrae,UH_P115_uh,UH_P115_uh,UH,UH_007,UH,3245,yes,Iodent,CrossValidation,,
UH_P128,UH_P128_H,inrae,UH_P128_uh,UH_P128_uh,UH,UH_007,UH,3075,yes,Iodent,CrossValidation,,
UH_P130,UH_P130_H,inrae,UH_P130_uh,UH_P130_uh,UH,UH_007,UH,1233,no,,nG_ext,,
UH_P131,UH_P131_H,inrae,UH_P131_uh,UH_P131_uh,UH,UH_007,UH,1234,no,,nG_ext,,
UH_P148,UH_P148_H,inrae,UH_P148_uh,UH_P148_uh,UH,UH_007,UH,3246,yes,Iodent,CrossValidation,,
UH_S015,UH_S015_H,inrae,UH_S015_uh,UH_S015_uh,UH,UH_007,UH,1239,no,,nG_ext,,
UH_S018,UH_S018_H,inrae,UH_S018_uh,UH_S018_uh,UH,UH_007,UH,3247,yes,Other,CrossValidation,,
UH_S020,UH_S020_H,inrae,UH_S020_uh,UH_S020_uh,UH,UH_007,UH,3248,yes,Other,CrossValidation,,
UH_S025,UH_S025_H,inrae,UH_S025_uh,UH_S025_uh,UH,UH_007,UH,3249,yes,Other,CrossValidation,,
UH_S033,UH_S033_H,inrae,UH_S033_uh,UH_S033_uh,UH,UH_007,UH,1242,no,,nG_ext,,
UH_S036,UH_S036_H,inrae,UH_S036_uh,UH_S036_uh,UH,UH_007,UH,1243,no,,nG_ext,,
UH_S040,UH_S040_H,inrae,UH_S040_uh,UH_S040_uh,UH,UH_007,UH,1244,no,,nG_ext,,
UH_S067,UH_S067_H,inrae,UH_S067_uh,UH_S067_uh,UH,UH_007,UH,1245,no,,nG_ext,,
UH250,UH250_H,inrae,UH250_uh,UH250_uh,UH,UH_007,UH,3026,yes,Other,CrossValidation,,
UH304,UH304_H,inrae,UH304_uh,UH304_uh,UH,UH_007,UH,3250,yes,Iodent,CrossValidation,,
Va26,Va26_H,inrae,Va26_inra,Va26_inra,INRA,UH_007,UH,3251,yes,Lancaster,CrossValidation,,
W117,W117_H,inrae,W117_inra,W117_inra,INRA,UH_007,UH,3252,yes,Other,CrossValidation,,
W153R,W153R_H,inrae,W153R_usa,W153Rht_inra,USA,UH_007,UH,3131,yes,Other,CrossValidation,,
W182B,W182B_H,inrae,W182B_inra,W182B_inra,INRA,UH_007,UH,1158,no,,nG_ext,,
W182E,W182E_H,inrae,W182E_inra,W182E_inra,INRA,UH_007,UH,3253,yes,Other,CrossValidation,,
W23,W23_H,inrae,W23_uh,W23_uh,INRA,UH_007,UH,3045,yes,Other,CrossValidation,,
W33,W33_H,inrae,W33_inra,W33_inra,INRA,UH_007,UH,1160,no,,nG_ext,,
W602S,W602S_H,inrae,W602S_uh,W602S_uh,UH,UH_007,UH,3063,yes,Lancaster,CrossValidation,,
W604S,W604S_H,inrae,W604S_uh,W604S_uh,UH,UH_007,UH,3254,yes,Lancaster,CrossValidation,,
W64A,W64A_H,inrae,W64A_inra,W64A_inra,INRA,UH_007,UH,3004,yes,Other,CrossValidation,,
W9,W9_H,inrae,W9_inra,W9_inra,INRA,UH_007,UH,3047,yes,Other,CrossValidation,,
W95115,W95115_H,inrae,W95115_inra,W95115_inra,INRA,UH_007,UH,3088,yes,Other,CrossValidation,,
Wf9,Wf9_H,inrae,Wf9_inra,Wf9_inra,INRA,UH_007,UH,3255,yes,Other,CrossValidation,,
YUBC1a,YUBC1A_H,inrae,YUBC1a_inra,YUBC1a_inra,INRA,UH_007,UH,1167,no,,nG_ext,,
